PPN01478	GPAL|GPLIN_001293100	GROS|GROS_g04709.t1
PPN01479	GPAL|GPLIN_000504900	GROS|GROS_g01514.t1
PPN01474	GPAL|GPLIN_000569700	GROS|GROS_g08323.t1
PPN01476	GPAL|GPLIN_001054100	GROS|GROS_g13455.t1
PPN01472	GPAL|GPLIN_000044900	GROS|GROS_g04888.t1
PPN01473	GPAL|GPLIN_000808800	GROS|GROS_g05026.t1
PPN12560	GPAL|GPLIN_001041700	GROS|GROS_g07810.t1
PPN04118	GPAL|GPLIN_001330300	GROS|GROS_g12299.t1
PPN12022	GPAL|GPLIN_000596800	GROS|GROS_g05775.t1
PPN04119	GPAL|GPLIN_000867600	GROS|GROS_g10190.t1
PPN12975	GPAL|GPLIN_001501100	GROS|GROS_g00698.t1
PPN12974	GPAL|GPLIN_001500600	GROS|GROS_g07704.t1
PPN12661	GPAL|GPLIN_001147700	GROS|GROS_g12970.t1
PPN12971	GPAL|GPLIN_001497500	GROS|GROS_g02122.t1
PPN12973	GPAL|GPLIN_001499400	GROS|GROS_g14270.t1
PPN12972	GPAL|GPLIN_001498200	GROS|GROS_g05679.t1
PPN04114	GPAL|GPLIN_001104100	GROS|GROS_g12127.t1
PPN04116	GPAL|GPLIN_001014500	GROS|GROS_g04891.t1
PPN04117	GPAL|GPLIN_001369700	GROS|GROS_g03092.t1
PPN04111	GPAL|GPLIN_000442900	GROS|GROS_g05541.t1
PPN08844	GPAL|GPLIN_000810800	GROS|GROS_g00394.t1
PPN04113	GPAL|GPLIN_001104200	GROS|GROS_g12128.t1
PPN04024	GPAL|GPLIN_000005600	GROS|GROS_g08555.t1
PPN04809	GPAL|GPLIN_001572400	GROS|GROS_g09407.t1
PPN04806	GPAL|GPLIN_000680900	GROS|GROS_g03001.t1
PPN04804	GPAL|GPLIN_001227200	GROS|GROS_g07263.t1
PPN04805	GPAL|GPLIN_000193200	GROS|GROS_g06527.t1
PPN04802	GPAL|GPLIN_001154600	GROS|GROS_g00533.t1
PPN04803	GPAL|GPLIN_000989900	GROS|GROS_g02628.t1
PPN04800	GPAL|GPLIN_000738000	GROS|GROS_g10300.t1
PPN04801	GPAL|GPLIN_000843700	GROS|GROS_g01982.t1
PPN04025	GPAL|GPLIN_000396000	GROS|GROS_g04844.t1
PPN12662	GPAL|GPLIN_001148100	GROS|GROS_g12117.t1
PPN04026	GPAL|GPLIN_000065100	GROS|GROS_g11382.t1
PPN11440	GPAL|GPLIN_000116400	GROS|GROS_g06125.t1
PPN11441	GPAL|GPLIN_000119500	GROS|GROS_g02399.t1
PPN11442	GPAL|GPLIN_000119800	GROS|GROS_g02403.t1
PPN11443	GPAL|GPLIN_000120100	GROS|GROS_g02405.t1
PPN11444	GPAL|GPLIN_000120500	GROS|GROS_g02408.t1
PPN11445	GPAL|GPLIN_000120700	GROS|GROS_g02410.t1
PPN11446	GPAL|GPLIN_000121200	GROS|GROS_g02415.t1
PPN11447	GPAL|GPLIN_000121300	GROS|GROS_g02416.t1
PPN11449	GPAL|GPLIN_000122200	GROS|GROS_g02422.t1
PPN11994	GPAL|GPLIN_000580400	GROS|GROS_g04047.t1
PPN11995	GPAL|GPLIN_000580500	GROS|GROS_g04048.t1
PPN11992	GPAL|GPLIN_000577100	GROS|GROS_g04704.t1
PPN11993	GPAL|GPLIN_000579500	GROS|GROS_g05259.t1
PPN11991	GPAL|GPLIN_000576300	GROS|GROS_g14249.t1
PPN11589	GPAL|GPLIN_000237900	GROS|GROS_g13239.t1
PPN03340	GPAL|GPLIN_000949600	GROS|GROS_g06447.t1
PPN03342	GPAL|GPLIN_000293000	GROS|GROS_g03285.t1
PPN03346	GPAL|GPLIN_000023800	GROS|GROS_g06423.t1
PPN03348	GPAL|GPLIN_000418100	GROS|GROS_g09148.t1
PPN08877	GPAL|GPLIN_001421600	GROS|GROS_g00269.t1
PPN09062	GPAL|GPLIN_000708400	GROS|GROS_g00850.t1
PPN09061	GPAL|GPLIN_000691200	GROS|GROS_g08132.t1
PPN09060	GPAL|GPLIN_000679700	GROS|GROS_g13613.t1
PPN09066	GPAL|GPLIN_000736800	GROS|GROS_g13567.t1
PPN09065	GPAL|GPLIN_000732800	GROS|GROS_g05034.t1
PPN09064	GPAL|GPLIN_000731700	GROS|GROS_g05050.t1
PPN09069	GPAL|GPLIN_000752400	GROS|GROS_g05441.t1
PPN09068	GPAL|GPLIN_000745500	GROS|GROS_g04931.t1
PPN11668	GPAL|GPLIN_000315300	GROS|GROS_g08892.t1
PPN11669	GPAL|GPLIN_000317100	GROS|GROS_g11493.t1
PPN03693	GPAL|GPLIN_000114100	GROS|GROS_g10908.t1
PPN03699	GPAL|GPLIN_001342500	GROS|GROS_g05800.t1
PPN02567	GPAL|GPLIN_000660900	GROS|GROS_g01655.t1
PPN02566	GPAL|GPLIN_000325700	GROS|GROS_g08392.t1
PPN02565	GPAL|GPLIN_000534700	GROS|GROS_g04927.t1
PPN02564	GPAL|GPLIN_000256800	GROS|GROS_g04403.t1
PPN02562	GPAL|GPLIN_001400000	GROS|GROS_g10533.t1
PPN02561	GPAL|GPLIN_000720400	GROS|GROS_g02621.t1
PPN02560	GPAL|GPLIN_000720800	GROS|GROS_g02617.t1
PPN12281	GPAL|GPLIN_000814600	GROS|GROS_g05788.t1
PPN12280	GPAL|GPLIN_000814200	GROS|GROS_g13559.t1
PPN12287	GPAL|GPLIN_000818100	GROS|GROS_g08535.t1
PPN05037	GPAL|GPLIN_000163300	GROS|GROS_g06478.t1
PPN02985	GPAL|GPLIN_000510200	GROS|GROS_g11213.t1
PPN02984	GPAL|GPLIN_000705000	GROS|GROS_g05169.t1
PPN02986	GPAL|GPLIN_000737200	GROS|GROS_g00347.t1
PPN02981	GPAL|GPLIN_000345100	GROS|GROS_g08481.t1
PPN02989	GPAL|GPLIN_000429300	GROS|GROS_g03754.t1
PPN02988	GPAL|GPLIN_001326300	GROS|GROS_g03776.t1
PPN12284	GPAL|GPLIN_000817800	GROS|GROS_g08532.t1
PPN08875	GPAL|GPLIN_000128600	GROS|GROS_g01862.t1
PPN12361	GPAL|GPLIN_000886600	GROS|GROS_g07829.t1
PPN12362	GPAL|GPLIN_000886700	GROS|GROS_g07828.t1
PPN12363	GPAL|GPLIN_000887700	GROS|GROS_g01392.t1
PPN12364	GPAL|GPLIN_000887900	GROS|GROS_g01390.t1
PPN12365	GPAL|GPLIN_000888100	GROS|GROS_g01389.t1
PPN12367	GPAL|GPLIN_000890100	GROS|GROS_g02964.t1
PPN12368	GPAL|GPLIN_000890400	GROS|GROS_g02960.t1
PPN12369	GPAL|GPLIN_000890700	GROS|GROS_g12688.t1
PPN08683	GPAL|GPLIN_000328700	GROS|GROS_g02601.t1
PPN11764	GPAL|GPLIN_000386500	GROS|GROS_g09690.t1
PPN12571	GPAL|GPLIN_001051300	GROS|GROS_g04727.t1
PPN12570	GPAL|GPLIN_001050600	GROS|GROS_g04142.t1
PPN12289	GPAL|GPLIN_000818800	GROS|GROS_g04617.t1
PPN12573	GPAL|GPLIN_001053300	GROS|GROS_g10860.t1
PPN12575	GPAL|GPLIN_001055700	GROS|GROS_g04509.t1
PPN12508	GPAL|GPLIN_000991800	GROS|GROS_g05201.t1
PPN12574	GPAL|GPLIN_001055400	GROS|GROS_g04513.t1
PPN12577	GPAL|GPLIN_001058000	GROS|GROS_g13385.t1
PPN12288	GPAL|GPLIN_000818200	GROS|GROS_g08094.t1
PPN12576	GPAL|GPLIN_001056000	GROS|GROS_g04507.t1
PPN12579	GPAL|GPLIN_001058400	GROS|GROS_g07583.t1
PPN12578	GPAL|GPLIN_001058200	GROS|GROS_g07584.t1
PPN04639	GPAL|GPLIN_001303700	GROS|GROS_g08618.t1
PPN04638	GPAL|GPLIN_000102000	GROS|GROS_g01324.t1
PPN04631	GPAL|GPLIN_001299300	GROS|GROS_g05813.t1
PPN04633	GPAL|GPLIN_001351800	GROS|GROS_g03803.t1
PPN04632	GPAL|GPLIN_000682500	GROS|GROS_g10026.t1
PPN04635	GPAL|GPLIN_001223400	GROS|GROS_g11700.t1
PPN04634	GPAL|GPLIN_000052700	GROS|GROS_g04265.t1
PPN04637	GPAL|GPLIN_000685900	GROS|GROS_g13097.t1
PPN04636	GPAL|GPLIN_000427400	GROS|GROS_g02797.t1
PPN04327	GPAL|GPLIN_001261100	GROS|GROS_g04106.t1
PPN04326	GPAL|GPLIN_000024200	GROS|GROS_g06430.t1
PPN04325	GPAL|GPLIN_000015800	GROS|GROS_g06202.t1
PPN04324	GPAL|GPLIN_000333500	GROS|GROS_g04647.t1
PPN04323	GPAL|GPLIN_000868500	GROS|GROS_g05295.t1
PPN04322	GPAL|GPLIN_000999500	GROS|GROS_g09744.t1
PPN04321	GPAL|GPLIN_001180900	GROS|GROS_g11203.t1
PPN04320	GPAL|GPLIN_001387700	GROS|GROS_g09041.t1
PPN04329	GPAL|GPLIN_001114600	GROS|GROS_g04553.t1
PPN04328	GPAL|GPLIN_000018100	GROS|GROS_g08670.t1
PPN06679	GPAL|GPLIN_000286200	GROS|GROS_g08422.t1
PPN06678	GPAL|GPLIN_001357400	GROS|GROS_g07268.t1
PPN06677	GPAL|GPLIN_000459800	GROS|GROS_g05511.t1
PPN06676	GPAL|GPLIN_000215500	GROS|GROS_g07398.t1
PPN06675	GPAL|GPLIN_000049400	GROS|GROS_g04369.t1
PPN06674	GPAL|GPLIN_000215600	GROS|GROS_g07397.t1
PPN06673	GPAL|GPLIN_000215800	GROS|GROS_g07396.t1
PPN06672	GPAL|GPLIN_000215900	GROS|GROS_g07395.t1
