PPN01478	GPAL|GPLIN_001293100	GROS|GROS_g04709
PPN01479	GPAL|GPLIN_000504900	GROS|GROS_g01514
PPN01474	GPAL|GPLIN_000569700	GROS|GROS_g08323
PPN01476	GPAL|GPLIN_001054100	GROS|GROS_g13455
PPN01472	GPAL|GPLIN_000044900	GROS|GROS_g04888
PPN01473	GPAL|GPLIN_000808800	GROS|GROS_g05026
PPN12560	GPAL|GPLIN_001041700	GROS|GROS_g07810
PPN04118	GPAL|GPLIN_001330300	GROS|GROS_g12299
PPN12022	GPAL|GPLIN_000596800	GROS|GROS_g05775
PPN04119	GPAL|GPLIN_000867600	GROS|GROS_g10190
PPN12975	GPAL|GPLIN_001501100	GROS|GROS_g00698
PPN12974	GPAL|GPLIN_001500600	GROS|GROS_g07704
PPN12661	GPAL|GPLIN_001147700	GROS|GROS_g12970
PPN12971	GPAL|GPLIN_001497500	GROS|GROS_g02122
PPN12973	GPAL|GPLIN_001499400	GROS|GROS_g14270
PPN12972	GPAL|GPLIN_001498200	GROS|GROS_g05679
PPN04114	GPAL|GPLIN_001104100	GROS|GROS_g12127
PPN04116	GPAL|GPLIN_001014500	GROS|GROS_g04891
PPN04117	GPAL|GPLIN_001369700	GROS|GROS_g03092
PPN04111	GPAL|GPLIN_000442900	GROS|GROS_g05541
PPN08844	GPAL|GPLIN_000810800	GROS|GROS_g00394
PPN04113	GPAL|GPLIN_001104200	GROS|GROS_g12128
PPN04024	GPAL|GPLIN_000005600	GROS|GROS_g08555
PPN04809	GPAL|GPLIN_001572400	GROS|GROS_g09407
PPN04806	GPAL|GPLIN_000680900	GROS|GROS_g03001
PPN04804	GPAL|GPLIN_001227200	GROS|GROS_g07263
PPN04805	GPAL|GPLIN_000193200	GROS|GROS_g06527
PPN04802	GPAL|GPLIN_001154600	GROS|GROS_g00533
PPN04803	GPAL|GPLIN_000989900	GROS|GROS_g02628
PPN04800	GPAL|GPLIN_000738000	GROS|GROS_g10300
PPN04801	GPAL|GPLIN_000843700	GROS|GROS_g01982
PPN04025	GPAL|GPLIN_000396000	GROS|GROS_g04844
PPN12662	GPAL|GPLIN_001148100	GROS|GROS_g12117
PPN04026	GPAL|GPLIN_000065100	GROS|GROS_g11382
PPN11440	GPAL|GPLIN_000116400	GROS|GROS_g06125
PPN11441	GPAL|GPLIN_000119500	GROS|GROS_g02399
PPN11442	GPAL|GPLIN_000119800	GROS|GROS_g02403
PPN11443	GPAL|GPLIN_000120100	GROS|GROS_g02405
PPN11444	GPAL|GPLIN_000120500	GROS|GROS_g02408
PPN11445	GPAL|GPLIN_000120700	GROS|GROS_g02410
PPN11446	GPAL|GPLIN_000121200	GROS|GROS_g02415
PPN11447	GPAL|GPLIN_000121300	GROS|GROS_g02416
PPN11449	GPAL|GPLIN_000122200	GROS|GROS_g02422
PPN11994	GPAL|GPLIN_000580400	GROS|GROS_g04047
PPN11995	GPAL|GPLIN_000580500	GROS|GROS_g04048
PPN11992	GPAL|GPLIN_000577100	GROS|GROS_g04704
PPN11993	GPAL|GPLIN_000579500	GROS|GROS_g05259
PPN11991	GPAL|GPLIN_000576300	GROS|GROS_g14249
PPN11589	GPAL|GPLIN_000237900	GROS|GROS_g13239
PPN03340	GPAL|GPLIN_000949600	GROS|GROS_g06447
PPN03342	GPAL|GPLIN_000293000	GROS|GROS_g03285
PPN03346	GPAL|GPLIN_000023800	GROS|GROS_g06423
PPN03348	GPAL|GPLIN_000418100	GROS|GROS_g09148
PPN08877	GPAL|GPLIN_001421600	GROS|GROS_g00269
PPN09062	GPAL|GPLIN_000708400	GROS|GROS_g00850
PPN09061	GPAL|GPLIN_000691200	GROS|GROS_g08132
PPN09060	GPAL|GPLIN_000679700	GROS|GROS_g13613
PPN09066	GPAL|GPLIN_000736800	GROS|GROS_g13567
PPN09065	GPAL|GPLIN_000732800	GROS|GROS_g05034
PPN09064	GPAL|GPLIN_000731700	GROS|GROS_g05050
PPN09069	GPAL|GPLIN_000752400	GROS|GROS_g05441
PPN09068	GPAL|GPLIN_000745500	GROS|GROS_g04931
PPN11668	GPAL|GPLIN_000315300	GROS|GROS_g08892
PPN11669	GPAL|GPLIN_000317100	GROS|GROS_g11493
PPN03693	GPAL|GPLIN_000114100	GROS|GROS_g10908
PPN03699	GPAL|GPLIN_001342500	GROS|GROS_g05800
PPN02567	GPAL|GPLIN_000660900	GROS|GROS_g01655
PPN02566	GPAL|GPLIN_000325700	GROS|GROS_g08392
PPN02565	GPAL|GPLIN_000534700	GROS|GROS_g04927
PPN02564	GPAL|GPLIN_000256800	GROS|GROS_g04403
PPN02562	GPAL|GPLIN_001400000	GROS|GROS_g10533
PPN02561	GPAL|GPLIN_000720400	GROS|GROS_g02621
PPN02560	GPAL|GPLIN_000720800	GROS|GROS_g02617
PPN12281	GPAL|GPLIN_000814600	GROS|GROS_g05788
PPN12280	GPAL|GPLIN_000814200	GROS|GROS_g13559
PPN12287	GPAL|GPLIN_000818100	GROS|GROS_g08535
PPN05037	GPAL|GPLIN_000163300	GROS|GROS_g06478
PPN02985	GPAL|GPLIN_000510200	GROS|GROS_g11213
PPN02984	GPAL|GPLIN_000705000	GROS|GROS_g05169
PPN02986	GPAL|GPLIN_000737200	GROS|GROS_g00347
PPN02981	GPAL|GPLIN_000345100	GROS|GROS_g08481
PPN02989	GPAL|GPLIN_000429300	GROS|GROS_g03754
PPN02988	GPAL|GPLIN_001326300	GROS|GROS_g03776
PPN12284	GPAL|GPLIN_000817800	GROS|GROS_g08532
PPN08875	GPAL|GPLIN_000128600	GROS|GROS_g01862
PPN12361	GPAL|GPLIN_000886600	GROS|GROS_g07829
PPN12362	GPAL|GPLIN_000886700	GROS|GROS_g07828
PPN12363	GPAL|GPLIN_000887700	GROS|GROS_g01392
PPN12364	GPAL|GPLIN_000887900	GROS|GROS_g01390
PPN12365	GPAL|GPLIN_000888100	GROS|GROS_g01389
PPN12367	GPAL|GPLIN_000890100	GROS|GROS_g02964
PPN12368	GPAL|GPLIN_000890400	GROS|GROS_g02960
PPN12369	GPAL|GPLIN_000890700	GROS|GROS_g12688
PPN08683	GPAL|GPLIN_000328700	GROS|GROS_g02601
PPN11764	GPAL|GPLIN_000386500	GROS|GROS_g09690
PPN12571	GPAL|GPLIN_001051300	GROS|GROS_g04727
PPN12570	GPAL|GPLIN_001050600	GROS|GROS_g04142
PPN12289	GPAL|GPLIN_000818800	GROS|GROS_g04617
PPN12573	GPAL|GPLIN_001053300	GROS|GROS_g10860
PPN12575	GPAL|GPLIN_001055700	GROS|GROS_g04509
PPN12508	GPAL|GPLIN_000991800	GROS|GROS_g05201
PPN12574	GPAL|GPLIN_001055400	GROS|GROS_g04513
PPN12577	GPAL|GPLIN_001058000	GROS|GROS_g13385
PPN12288	GPAL|GPLIN_000818200	GROS|GROS_g08094
PPN12576	GPAL|GPLIN_001056000	GROS|GROS_g04507
PPN12579	GPAL|GPLIN_001058400	GROS|GROS_g07583
PPN12578	GPAL|GPLIN_001058200	GROS|GROS_g07584
PPN04639	GPAL|GPLIN_001303700	GROS|GROS_g08618
PPN04638	GPAL|GPLIN_000102000	GROS|GROS_g01324
PPN04631	GPAL|GPLIN_001299300	GROS|GROS_g05813
PPN04633	GPAL|GPLIN_001351800	GROS|GROS_g03803
PPN04632	GPAL|GPLIN_000682500	GROS|GROS_g10026
PPN04635	GPAL|GPLIN_001223400	GROS|GROS_g11700
PPN04634	GPAL|GPLIN_000052700	GROS|GROS_g04265
PPN04637	GPAL|GPLIN_000685900	GROS|GROS_g13097
PPN04636	GPAL|GPLIN_000427400	GROS|GROS_g02797
PPN04327	GPAL|GPLIN_001261100	GROS|GROS_g04106
PPN04326	GPAL|GPLIN_000024200	GROS|GROS_g06430
PPN04325	GPAL|GPLIN_000015800	GROS|GROS_g06202
PPN04324	GPAL|GPLIN_000333500	GROS|GROS_g04647
PPN04323	GPAL|GPLIN_000868500	GROS|GROS_g05295
PPN04322	GPAL|GPLIN_000999500	GROS|GROS_g09744
PPN04321	GPAL|GPLIN_001180900	GROS|GROS_g11203
PPN04320	GPAL|GPLIN_001387700	GROS|GROS_g09041
PPN04329	GPAL|GPLIN_001114600	GROS|GROS_g04553
PPN04328	GPAL|GPLIN_000018100	GROS|GROS_g08670
PPN06679	GPAL|GPLIN_000286200	GROS|GROS_g08422
PPN06678	GPAL|GPLIN_001357400	GROS|GROS_g07268
PPN06677	GPAL|GPLIN_000459800	GROS|GROS_g05511
PPN06676	GPAL|GPLIN_000215500	GROS|GROS_g07398
PPN06675	GPAL|GPLIN_000049400	GROS|GROS_g04369
PPN06674	GPAL|GPLIN_000215600	GROS|GROS_g07397
PPN06673	GPAL|GPLIN_000215800	GROS|GROS_g07396
PPN06672	GPAL|GPLIN_000215900	GROS|GROS_g07395
PPN06670	GPAL|GPLIN_000574300	GROS|GROS_g00168
PPN12838	GPAL|GPLIN_001304800	GROS|GROS_g13187
PPN12702	GPAL|GPLIN_001183900	GROS|GROS_g03488
PPN12977	GPAL|GPLIN_001508600	GROS|GROS_g02448
PPN06937	GPAL|GPLIN_000186000	GROS|GROS_g09581
PPN11859	GPAL|GPLIN_000472800	GROS|GROS_g11575
PPN11858	GPAL|GPLIN_000472300	GROS|GROS_g06666
PPN11857	GPAL|GPLIN_000472200	GROS|GROS_g12310
PPN11856	GPAL|GPLIN_000472100	GROS|GROS_g12308
PPN11855	GPAL|GPLIN_000467200	GROS|GROS_g11592
PPN11854	GPAL|GPLIN_000466900	GROS|GROS_g12845
PPN11852	GPAL|GPLIN_000465700	GROS|GROS_g13305
PPN11851	GPAL|GPLIN_000465200	GROS|GROS_g05121
PPN11850	GPAL|GPLIN_000463800	GROS|GROS_g05134
PPN00808	GPAL|GPLIN_000935500	GROS|GROS_g03791
PPN00802	GPAL|GPLIN_000041000	GROS|GROS_g02210
PPN00800	GPAL|GPLIN_000429500	GROS|GROS_g03753
PPN00801	GPAL|GPLIN_001356900	GROS|GROS_g12216
PPN00806	GPAL|GPLIN_000794800	GROS|GROS_g09296
PPN03572	GPAL|GPLIN_000950000	GROS|GROS_g10170
PPN03571	GPAL|GPLIN_000563600	GROS|GROS_g03022
PPN03577	GPAL|GPLIN_000824300	GROS|GROS_g13081
PPN11494	GPAL|GPLIN_000168700	GROS|GROS_g06680
PPN06017	GPAL|GPLIN_000467700	GROS|GROS_g04161
PPN06016	GPAL|GPLIN_000764900	GROS|GROS_g06921
PPN06015	GPAL|GPLIN_000261900	GROS|GROS_g04073
PPN06894	GPAL|GPLIN_000649800	GROS|GROS_g01283
PPN06014	GPAL|GPLIN_000167400	GROS|GROS_g01295
PPN11492	GPAL|GPLIN_000167800	GROS|GROS_g05353
PPN06549	GPAL|GPLIN_000533700	GROS|GROS_g03107
PPN06548	GPAL|GPLIN_000483000	GROS|GROS_g11117
PPN11272	GPAL|GPLIN_000959300	GROS|GROS_g01621
PPN07526	GPAL|GPLIN_001276400	GROS|GROS_g10354
PPN11490	GPAL|GPLIN_000165100	GROS|GROS_g08819
PPN06949	GPAL|GPLIN_000245700	GROS|GROS_g01590
PPN06948	GPAL|GPLIN_000232900	GROS|GROS_g04091
PPN01043	GPAL|GPLIN_000434900	GROS|GROS_g00877
PPN01042	GPAL|GPLIN_000070100	GROS|GROS_g02256
PPN01045	GPAL|GPLIN_001052500	GROS|GROS_g04390
PPN01047	GPAL|GPLIN_000131000	GROS|GROS_g05869
PPN01046	GPAL|GPLIN_000567600	GROS|GROS_g05629
PPN01049	GPAL|GPLIN_000328900	GROS|GROS_g04846
PPN01048	GPAL|GPLIN_000193700	GROS|GROS_g06533
PPN04624	GPAL|GPLIN_000277300	GROS|GROS_g08512
PPN04622	GPAL|GPLIN_000566700	GROS|GROS_g05620
PPN08639	GPAL|GPLIN_001140800	GROS|GROS_g09988
PPN04623	GPAL|GPLIN_000653600	GROS|GROS_g01192
PPN03919	GPAL|GPLIN_001462700	GROS|GROS_g08117
PPN03918	GPAL|GPLIN_000646100	GROS|GROS_g09442
PPN04620	GPAL|GPLIN_000138100	GROS|GROS_g05902
PPN03911	GPAL|GPLIN_000997000	GROS|GROS_g11961
PPN03910	GPAL|GPLIN_000598500	GROS|GROS_g08316
PPN03913	GPAL|GPLIN_001363200	GROS|GROS_g12362
PPN03912	GPAL|GPLIN_000686900	GROS|GROS_g09797
PPN03915	GPAL|GPLIN_000881700	GROS|GROS_g03409
PPN03914	GPAL|GPLIN_000467900	GROS|GROS_g04158
PPN03916	GPAL|GPLIN_001384500	GROS|GROS_g09075
PPN06943	GPAL|GPLIN_000216200	GROS|GROS_g07390
PPN12777	GPAL|GPLIN_001243300	GROS|GROS_g12964
PPN12775	GPAL|GPLIN_001241600	GROS|GROS_g00399
PPN06942	GPAL|GPLIN_000214700	GROS|GROS_g07409
PPN12771	GPAL|GPLIN_001236500	GROS|GROS_g03212
PPN12770	GPAL|GPLIN_001234300	GROS|GROS_g05402
PPN08499	GPAL|GPLIN_000270900	GROS|GROS_g01005
PPN08490	GPAL|GPLIN_000774800	GROS|GROS_g00775
PPN08493	GPAL|GPLIN_000331600	GROS|GROS_g08194
PPN08492	GPAL|GPLIN_000498800	GROS|GROS_g05461
PPN08494	GPAL|GPLIN_000113000	GROS|GROS_g13657
PPN08947	GPAL|GPLIN_000070700	GROS|GROS_g02248
PPN08946	GPAL|GPLIN_000066000	GROS|GROS_g01851
PPN08944	GPAL|GPLIN_000058300	GROS|GROS_g03357
PPN08943	GPAL|GPLIN_000057500	GROS|GROS_g03380
PPN08942	GPAL|GPLIN_000057400	GROS|GROS_g03381
PPN08941	GPAL|GPLIN_000050100	GROS|GROS_g07207
PPN04225	GPAL|GPLIN_000219700	GROS|GROS_g06582
PPN08949	GPAL|GPLIN_000077900	GROS|GROS_g02705
PPN08948	GPAL|GPLIN_000076400	GROS|GROS_g07642
PPN01452	GPAL|GPLIN_001304100	GROS|GROS_g08624
PPN01453	GPAL|GPLIN_001119500	GROS|GROS_g09848
PPN01450	GPAL|GPLIN_000385700	GROS|GROS_g09715
PPN01451	GPAL|GPLIN_001453800	GROS|GROS_g12062
PPN01457	GPAL|GPLIN_000726800	GROS|GROS_g09433
PPN01455	GPAL|GPLIN_000231600	GROS|GROS_g06026
PPN01459	GPAL|GPLIN_000054300	GROS|GROS_g03436
PPN12199	GPAL|GPLIN_000742300	GROS|GROS_g03875
PPN12198	GPAL|GPLIN_000742000	GROS|GROS_g07365
PPN12193	GPAL|GPLIN_000738800	GROS|GROS_g08292
PPN12192	GPAL|GPLIN_000737900	GROS|GROS_g10299
PPN12191	GPAL|GPLIN_000736000	GROS|GROS_g08142
PPN12190	GPAL|GPLIN_000735400	GROS|GROS_g13893
PPN12197	GPAL|GPLIN_000741900	GROS|GROS_g07363
PPN06743	GPAL|GPLIN_001226100	GROS|GROS_g01308
PPN12195	GPAL|GPLIN_000740100	GROS|GROS_g11740
PPN12194	GPAL|GPLIN_000739500	GROS|GROS_g10570
PPN02553	GPAL|GPLIN_000419100	GROS|GROS_g06004
PPN06742	GPAL|GPLIN_001226200	GROS|GROS_g01307
PPN02550	GPAL|GPLIN_000666900	GROS|GROS_g02434
PPN06116	GPAL|GPLIN_000400800	GROS|GROS_g04487
PPN12993	GPAL|GPLIN_001526200	GROS|GROS_g01723
PPN12992	GPAL|GPLIN_001525000	GROS|GROS_g00882
PPN12991	GPAL|GPLIN_001523300	GROS|GROS_g12344
PPN12997	GPAL|GPLIN_001530500	GROS|GROS_g07969
PPN12996	GPAL|GPLIN_001529800	GROS|GROS_g02830
PPN04798	GPAL|GPLIN_000274700	GROS|GROS_g06707
PPN04799	GPAL|GPLIN_001176900	GROS|GROS_g07503
PPN04796	GPAL|GPLIN_000274200	GROS|GROS_g12567
PPN04797	GPAL|GPLIN_001173100	GROS|GROS_g06341
PPN04794	GPAL|GPLIN_000848700	GROS|GROS_g08013
PPN04795	GPAL|GPLIN_000177200	GROS|GROS_g01952
PPN04792	GPAL|GPLIN_000446100	GROS|GROS_g07470
PPN04793	GPAL|GPLIN_000040600	GROS|GROS_g02214
PPN04790	GPAL|GPLIN_000131500	GROS|GROS_g04295
PPN04791	GPAL|GPLIN_000372300	GROS|GROS_g01870
PPN11931	GPAL|GPLIN_000524900	GROS|GROS_g13554
PPN07119	GPAL|GPLIN_001620400	GROS|GROS_g00591
PPN07118	GPAL|GPLIN_001620300	GROS|GROS_g00766
PPN04864	GPAL|GPLIN_000254300	GROS|GROS_g10410
PPN04865	GPAL|GPLIN_000932200	GROS|GROS_g01130
PPN04866	GPAL|GPLIN_000772500	GROS|GROS_g00758
PPN04867	GPAL|GPLIN_001023400	GROS|GROS_g05160
PPN04860	GPAL|GPLIN_000947300	GROS|GROS_g02730
PPN04861	GPAL|GPLIN_001150600	GROS|GROS_g10685
PPN04862	GPAL|GPLIN_000852100	GROS|GROS_g11624
PPN04863	GPAL|GPLIN_000147300	GROS|GROS_g04223
PPN04868	GPAL|GPLIN_000213100	GROS|GROS_g01221
PPN04869	GPAL|GPLIN_000455900	GROS|GROS_g02944
PPN06746	GPAL|GPLIN_000268400	GROS|GROS_g00967
PPN11466	GPAL|GPLIN_000136700	GROS|GROS_g05912
PPN06745	GPAL|GPLIN_001076800	GROS|GROS_g03082
PPN06741	GPAL|GPLIN_001583100	GROS|GROS_g03185
PPN11465	GPAL|GPLIN_000136200	GROS|GROS_g05920
PPN11460	GPAL|GPLIN_000129800	GROS|GROS_g04599
PPN11461	GPAL|GPLIN_000131900	GROS|GROS_g04299
PPN01558	GPAL|GPLIN_001213800	GROS|GROS_g05430
PPN11468	GPAL|GPLIN_000143000	GROS|GROS_g08150
PPN11469	GPAL|GPLIN_000144100	GROS|GROS_g07007
PPN01557	GPAL|GPLIN_000574800	GROS|GROS_g00172
PPN06117	GPAL|GPLIN_001104600	GROS|GROS_g12133
PPN01555	GPAL|GPLIN_000079400	GROS|GROS_g03569
PPN04074	GPAL|GPLIN_000113300	GROS|GROS_g13595
PPN01552	GPAL|GPLIN_000694400	GROS|GROS_g02010
PPN03366	GPAL|GPLIN_000665600	GROS|GROS_g05808
PPN03365	GPAL|GPLIN_000247800	GROS|GROS_g03173
PPN04070	GPAL|GPLIN_000161100	GROS|GROS_g06063
PPN06799	GPAL|GPLIN_000843300	GROS|GROS_g01987
PPN03368	GPAL|GPLIN_000328100	GROS|GROS_g02593
PPN02097	GPAL|GPLIN_001193200	GROS|GROS_g03287
PPN02096	GPAL|GPLIN_000993300	GROS|GROS_g03286
PPN02094	GPAL|GPLIN_001449700	GROS|GROS_g03316
PPN02091	GPAL|GPLIN_001140600	GROS|GROS_g09986
PPN02090	GPAL|GPLIN_000158000	GROS|GROS_g08240
PPN02099	GPAL|GPLIN_000292100	GROS|GROS_g11687
PPN02098	GPAL|GPLIN_000292600	GROS|GROS_g11691
PPN06620	GPAL|GPLIN_001584900	GROS|GROS_g10785
PPN06740	GPAL|GPLIN_001174400	GROS|GROS_g12265
PPN11999	GPAL|GPLIN_000585000	GROS|GROS_g04989
PPN09049	GPAL|GPLIN_000652100	GROS|GROS_g08703
PPN09048	GPAL|GPLIN_000641300	GROS|GROS_g09877
PPN11648	GPAL|GPLIN_000291000	GROS|GROS_g12214
PPN11649	GPAL|GPLIN_000292400	GROS|GROS_g05303
PPN11997	GPAL|GPLIN_000581900	GROS|GROS_g04036
PPN09041	GPAL|GPLIN_000594700	GROS|GROS_g12742
PPN09040	GPAL|GPLIN_000594500	GROS|GROS_g12189
PPN09043	GPAL|GPLIN_000600400	GROS|GROS_g03842
PPN09042	GPAL|GPLIN_000599300	GROS|GROS_g11724
PPN09045	GPAL|GPLIN_000607200	GROS|GROS_g01135
PPN09047	GPAL|GPLIN_000639900	GROS|GROS_g06569
PPN09046	GPAL|GPLIN_000624100	GROS|GROS_g09831
PPN08798	GPAL|GPLIN_000408500	GROS|GROS_g06957
PPN08799	GPAL|GPLIN_000921300	GROS|GROS_g05946
PPN12788	GPAL|GPLIN_001250400	GROS|GROS_g07047
PPN08793	GPAL|GPLIN_000059100	GROS|GROS_g03703
PPN08797	GPAL|GPLIN_000848800	GROS|GROS_g08014
PPN06938	GPAL|GPLIN_000188000	GROS|GROS_g05394
PPN06939	GPAL|GPLIN_000196700	GROS|GROS_g09262
PPN11990	GPAL|GPLIN_000574100	GROS|GROS_g00164
PPN12643	GPAL|GPLIN_001123600	GROS|GROS_g09741
PPN06930	GPAL|GPLIN_000151900	GROS|GROS_g02129
PPN06931	GPAL|GPLIN_000157000	GROS|GROS_g09551
PPN06932	GPAL|GPLIN_000167100	GROS|GROS_g07773
PPN06933	GPAL|GPLIN_000172400	GROS|GROS_g10234
PPN06934	GPAL|GPLIN_000173000	GROS|GROS_g10240
PPN06935	GPAL|GPLIN_000173200	GROS|GROS_g10242
PPN06936	GPAL|GPLIN_000180300	GROS|GROS_g05859
PPN06623	GPAL|GPLIN_001029800	GROS|GROS_g08636
PPN12785	GPAL|GPLIN_001247200	GROS|GROS_g02459
PPN02549	GPAL|GPLIN_000704800	GROS|GROS_g05173
PPN02548	GPAL|GPLIN_001311900	GROS|GROS_g08764
PPN02545	GPAL|GPLIN_000219400	GROS|GROS_g02512
PPN02235	GPAL|GPLIN_000986400	GROS|GROS_g06317
PPN02234	GPAL|GPLIN_000716000	GROS|GROS_g00732
PPN05018	GPAL|GPLIN_000643400	GROS|GROS_g11248
PPN05019	GPAL|GPLIN_000749500	GROS|GROS_g11971
PPN05015	GPAL|GPLIN_000424100	GROS|GROS_g11516
PPN05013	GPAL|GPLIN_000337600	GROS|GROS_g03661
PPN05010	GPAL|GPLIN_000224200	GROS|GROS_g02166
PPN05011	GPAL|GPLIN_000322200	GROS|GROS_g06656
PPN12641	GPAL|GPLIN_001121000	GROS|GROS_g00665
PPN06625	GPAL|GPLIN_000820000	GROS|GROS_g00512
PPN06747	GPAL|GPLIN_000267300	GROS|GROS_g00955
PPN12640	GPAL|GPLIN_001119100	GROS|GROS_g08542
PPN06626	GPAL|GPLIN_000586000	GROS|GROS_g06216
PPN12647	GPAL|GPLIN_001131400	GROS|GROS_g14181
PPN08895	GPAL|GPLIN_000016400	GROS|GROS_g05969
PPN12724	GPAL|GPLIN_001196800	GROS|GROS_g09472
PPN12269	GPAL|GPLIN_000802200	GROS|GROS_g12221
PPN11849	GPAL|GPLIN_000463400	GROS|GROS_g09853
PPN08896	GPAL|GPLIN_001034100	GROS|GROS_g01159
PPN08891	GPAL|GPLIN_000322500	GROS|GROS_g06659
PPN12646	GPAL|GPLIN_001130700	GROS|GROS_g12789
PPN08890	GPAL|GPLIN_000073100	GROS|GROS_g11443
PPN12346	GPAL|GPLIN_000868700	GROS|GROS_g05293
PPN12268	GPAL|GPLIN_000797400	GROS|GROS_g04206
PPN12344	GPAL|GPLIN_000866200	GROS|GROS_g00832
PPN12345	GPAL|GPLIN_000867700	GROS|GROS_g10193
PPN12342	GPAL|GPLIN_000863600	GROS|GROS_g12577
PPN08893	GPAL|GPLIN_000392500	GROS|GROS_g00888
PPN12340	GPAL|GPLIN_000862800	GROS|GROS_g07553
PPN12341	GPAL|GPLIN_000863300	GROS|GROS_g12576
PPN12698	GPAL|GPLIN_001179600	GROS|GROS_g03352
PPN12699	GPAL|GPLIN_001180400	GROS|GROS_g07198
PPN12348	GPAL|GPLIN_000870800	GROS|GROS_g10749
PPN12349	GPAL|GPLIN_000871300	GROS|GROS_g08976
PPN11847	GPAL|GPLIN_000459400	GROS|GROS_g05494
PPN06404	GPAL|GPLIN_001456600	GROS|GROS_g02955
PPN12528	GPAL|GPLIN_001010000	GROS|GROS_g04968
PPN12529	GPAL|GPLIN_001013100	GROS|GROS_g09098
PPN06263	GPAL|GPLIN_000845000	GROS|GROS_g04582
PPN06265	GPAL|GPLIN_000095900	GROS|GROS_g09673
PPN12669	GPAL|GPLIN_001152900	GROS|GROS_g01812
PPN04309	GPAL|GPLIN_000473000	GROS|GROS_g11585
PPN04308	GPAL|GPLIN_001472600	GROS|GROS_g10810
PPN04659	GPAL|GPLIN_001241900	GROS|GROS_g00398
PPN04658	GPAL|GPLIN_000395800	GROS|GROS_g04842
PPN04657	GPAL|GPLIN_001229300	GROS|GROS_g04279
PPN04304	GPAL|GPLIN_000224100	GROS|GROS_g02167
PPN04307	GPAL|GPLIN_000082600	GROS|GROS_g11063
PPN04306	GPAL|GPLIN_000021800	GROS|GROS_g08079
PPN04300	GPAL|GPLIN_000857700	GROS|GROS_g04702
PPN04303	GPAL|GPLIN_000083800	GROS|GROS_g13263
PPN06655	GPAL|GPLIN_000329600	GROS|GROS_g09818
PPN06651	GPAL|GPLIN_000030800	GROS|GROS_g12207
PPN06653	GPAL|GPLIN_000461400	GROS|GROS_g09984
PPN12830	GPAL|GPLIN_001292400	GROS|GROS_g02039
PPN12832	GPAL|GPLIN_001292700	GROS|GROS_g02036
PPN12833	GPAL|GPLIN_001293500	GROS|GROS_g12461
PPN06658	GPAL|GPLIN_000728600	GROS|GROS_g12141
PPN12836	GPAL|GPLIN_001301900	GROS|GROS_g09684
PPN12665	GPAL|GPLIN_001150800	GROS|GROS_g13269
PPN12664	GPAL|GPLIN_001149300	GROS|GROS_g12377
PPN06080	GPAL|GPLIN_000587300	GROS|GROS_g14198
PPN12667	GPAL|GPLIN_001152100	GROS|GROS_g11262
PPN01485	GPAL|GPLIN_001155600	GROS|GROS_g07056
PPN12666	GPAL|GPLIN_001150900	GROS|GROS_g06951
PPN06082	GPAL|GPLIN_000959700	GROS|GROS_g01628
PPN01484	GPAL|GPLIN_001024800	GROS|GROS_g03399
PPN06083	GPAL|GPLIN_000144700	GROS|GROS_g02266
PPN01487	GPAL|GPLIN_000880800	GROS|GROS_g03538
PPN06084	GPAL|GPLIN_000693500	GROS|GROS_g02021
PPN01486	GPAL|GPLIN_000881000	GROS|GROS_g03216
PPN06085	GPAL|GPLIN_000838800	GROS|GROS_g08751
